    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        53   119.7606    93.000  0.303875876  0.452549831  0.234894408  0.008679885  1  1.000000  0.000000   409.4437        NaN  5.195E-02        NaN  0.303875876  0.452549831  0.234894408  0.008679885          NaN          NaN          NaN          NaN
        54   157.2121    93.000  0.041336421  0.705493893  0.100051329  0.153118357  1  1.000000  0.000000   594.8200        NaN  1.403E-01        NaN  0.041336421  0.705493893  0.100051329  0.153118357          NaN          NaN          NaN          NaN
        55   114.7360    93.000  0.554025813  0.378298382  0.001611783  0.066064021  2  0.188718  0.811282   604.7991   131.4987  1.449E-01  1.726E-02  0.271204548  0.469280553  0.004066187  0.255448712  0.650413423  0.347290975  0.000775304  0.001520298
        56   127.9950    93.000  0.100986820  0.047795042  0.768120882  0.083097257  1  1.000000  0.000000   613.8333        NaN  1.516E-01        NaN  0.100986820  0.047795042  0.768120882  0.083097257          NaN          NaN          NaN          NaN
        57   136.4084    93.000  0.233412240  0.589921771  0.174933341  0.001732648  1  1.000000  0.000000   412.4278        NaN  5.307E-02        NaN  0.233412240  0.589921771  0.174933341  0.001732648          NaN          NaN          NaN          NaN
        58   146.7211    93.000  0.488044489  0.170643613  0.000000001  0.341311897  2  0.744196  0.255804   694.0841   106.8613  2.754E-01  1.664E-02  0.367043573  0.187284945  0.000000001  0.445671481  0.882615160  0.116378062  0.000000000  0.001006779
        59   156.9539    93.000  0.001624023  0.000804146  0.201449417  0.796122414  1  1.000000  0.000000   795.7283        NaN  5.480E-01        NaN  0.001624023  0.000804146  0.201449417  0.796122414          NaN          NaN          NaN          NaN
        60   152.3376    93.000  0.733898339  0.244693861  0.000341663  0.021066137  2  0.055657  0.944343   627.6520   143.6313  1.711E-01  1.869E-02  0.359880412  0.343873490  0.001407082  0.294839016  0.759710504  0.237849160  0.000268135  0.002172201
        61   114.0573    93.000  0.000136293  0.467477749  0.035943391  0.496442567  1  1.000000  0.000000   729.2864        NaN  3.581E-01        NaN  0.000136293  0.467477749  0.035943391  0.496442567          NaN          NaN          NaN          NaN
        62   120.9960    93.000  0.143235861  0.000000181  0.779230750  0.077533207  1  1.000000  0.000000   605.9734        NaN  1.432E-01        NaN  0.143235861  0.000000181  0.779230750  0.077533207          NaN          NaN          NaN          NaN
        63   126.7022    93.000  0.313788069  0.385212264  0.156155037  0.144844630  1  1.000000  0.000000   544.2183        NaN  1.001E-01        NaN  0.313788069  0.385212264  0.156155037  0.144844630          NaN          NaN          NaN          NaN
