    CELLID   PRES       TEMPC    ZMF$1        ZMF$2        ZMF$3        ZMF$4      PHST SLIQ      SGAS       DLIQ       DGAS      VISLIQ     VISGAS     XMF$1        XMF$2        XMF$3        XMF$4        YMF$1        YMF$2        YMF$3        YMF$4
        40   113.9525   113.938  0.011054607  0.375167082  0.594277705  0.019500605  1  1.000000  0.000000   540.5777        NaN  9.540E-02        NaN  0.011054607  0.375167082  0.594277705  0.019500605          NaN          NaN          NaN          NaN
        41   138.3291   112.363  0.014537159  0.485401014  0.496133247  0.003928580  1  1.000000  0.000000   521.5176        NaN  8.750E-02        NaN  0.014537159  0.485401014  0.496133247  0.003928580          NaN          NaN          NaN          NaN
        42   154.2000    72.092  0.325598619  0.174817971  0.499504770  0.000078641  1  1.000000  0.000000   512.4465        NaN  8.690E-02        NaN  0.325598619  0.174817971  0.499504770  0.000078641          NaN          NaN          NaN          NaN
        43   154.9519    95.376  0.007361995  0.963964798  0.017976854  0.010696353  1  1.000000  0.000000   450.4996        NaN  6.373E-02        NaN  0.007361995  0.963964798  0.017976854  0.010696353          NaN          NaN          NaN          NaN
        44   139.1547   101.185  0.938011725  0.051327417  0.000323735  0.010337124  2  0.015369  0.984631   722.4666    85.5384  3.336E-01  1.592E-02  0.360956717  0.081828833  0.002517810  0.554696640  0.948126865  0.050792760  0.000285276  0.000795099
        45   146.4722   103.264  0.520723457  0.000000011  0.293377766  0.185898766  2  0.743100  0.256900   614.0290   101.6304  1.508E-01  1.655E-02  0.409976635  0.000000012  0.356260291  0.233763061  0.949335862  0.000000008  0.050009783  0.000654348
        46   120.8797    84.083  0.000026720  0.000004257  0.224967503  0.775001520  1  1.000000  0.000000   793.5462        NaN  5.412E-01        NaN  0.000026720  0.000004257  0.224967503  0.775001520          NaN          NaN          NaN          NaN
        47   139.3970    82.486  0.421993339  0.511536798  0.003523824  0.062946039  2  0.611173  0.388827   464.6792   236.0773  6.737E-02  2.647E-02  0.360205038  0.542920809  0.004390279  0.092483874  0.537191302  0.453024522  0.001908407  0.007875769
        48   152.0436   103.108  0.064477860  0.120993859  0.037738321  0.776789960  1  1.000000  0.000000   784.0492        NaN  5.173E-01        NaN  0.064477860  0.120993859  0.037738321  0.776789960          NaN          NaN          NaN          NaN
        49   157.6204    89.665  0.858226231  0.000713676  0.044425145  0.096634947  2  0.211522  0.788478   698.0849    98.0568  2.834E-01  1.644E-02  0.420740568  0.001079687  0.146049888  0.432129857  0.983422590  0.000608934  0.015342940  0.000625536
        50   133.8415   110.293  0.000573487  0.581028101  0.363245882  0.055152531  1  1.000000  0.000000   543.3360        NaN  9.899E-02        NaN  0.000573487  0.581028101  0.363245882  0.055152531          NaN          NaN          NaN          NaN
        51   132.7822    69.147  0.001650515  0.196297898  0.014258484  0.787793103  1  1.000000  0.000000   801.5421        NaN  6.298E-01        NaN  0.001650515  0.196297898  0.014258484  0.787793103          NaN          NaN          NaN          NaN
